,author_login,closedAt_Friday,variable,value
232,gebelangsn,2023-11-03,closed,1.0
233,gebelangsn,2023-11-24,closed,3.0
234,gebelangsn,2023-12-01,closed,1.0
235,gebelangsn,2023-12-08,closed,2.0
236,gebelangsn,2023-12-22,closed,1.0
237,gebelangsn,2024-01-05,closed,1.0
238,gebelangsn,2024-01-12,closed,1.0
239,lachisis,2023-09-15,closed,1.0
240,lachisis,2023-09-29,closed,2.0
241,lachisis,2023-10-13,closed,1.0
242,lachisis,2023-10-20,closed,2.0
243,lachisis,2023-10-27,closed,1.0
244,lachisis,2023-11-03,closed,1.0
245,lachisis,2023-11-10,closed,1.0
246,lachisis,2024-01-12,closed,2.0
247,lachisis,2024-01-19,closed,1.0
248,lachisis,2024-01-26,closed,1.0
249,lachisis,2024-03-22,closed,2.0
250,mebrunet,2024-03-22,closed,3.0
251,mebrunet,2024-04-05,closed,1.0
252,mmunozm,2023-08-18,closed,1.0
253,mmunozm,2023-08-25,closed,1.0
254,mmunozm,2023-09-01,closed,1.0
255,mmunozm,2023-09-15,closed,5.0
256,mmunozm,2023-09-22,closed,3.0
257,mmunozm,2023-09-29,closed,5.0
258,mmunozm,2023-10-06,closed,3.0
259,mmunozm,2023-10-13,closed,3.0
260,mmunozm,2023-10-20,closed,2.0
261,mmunozm,2023-10-27,closed,5.0
262,mmunozm,2023-11-03,closed,4.0
263,mmunozm,2023-11-10,closed,2.0
264,mmunozm,2023-11-17,closed,4.0
265,mmunozm,2023-11-24,closed,3.0
266,mmunozm,2023-12-01,closed,5.0
267,mmunozm,2023-12-08,closed,5.0
268,mmunozm,2023-12-15,closed,3.0
269,mmunozm,2023-12-22,closed,3.0
270,mmunozm,2024-01-05,closed,1.0
271,mmunozm,2024-01-12,closed,2.0
272,mmunozm,2024-02-02,closed,2.0
273,mmunozm,2024-02-09,closed,1.0
274,mmunozm,2024-02-16,closed,6.0
275,mmunozm,2024-02-23,closed,3.0
276,mmunozm,2024-03-22,closed,1.0
277,nitsanluke,2023-08-25,closed,2.0
278,nitsanluke,2023-09-01,closed,2.0
279,nitsanluke,2023-09-08,closed,5.0
280,nitsanluke,2023-09-15,closed,3.0
281,nitsanluke,2023-09-22,closed,2.0
282,nitsanluke,2023-09-29,closed,6.0
283,nitsanluke,2023-10-06,closed,4.0
284,nitsanluke,2023-10-13,closed,3.0
285,nitsanluke,2023-10-20,closed,14.0
286,nitsanluke,2023-10-27,closed,3.0
287,nitsanluke,2023-11-10,closed,3.0
288,nitsanluke,2023-11-17,closed,2.0
289,nitsanluke,2023-11-24,closed,4.0
290,nitsanluke,2023-12-01,closed,3.0
291,nitsanluke,2023-12-08,closed,3.0
292,nitsanluke,2023-12-15,closed,1.0
293,nitsanluke,2023-12-22,closed,3.0
294,nitsanluke,2024-01-05,closed,1.0
295,nitsanluke,2024-01-12,closed,2.0
296,nitsanluke,2024-01-19,closed,5.0
297,nitsanluke,2024-02-02,closed,3.0
298,nitsanluke,2024-02-16,closed,1.0
299,nitsanluke,2024-03-01,closed,1.0
300,nitsanluke,2024-03-08,closed,3.0
301,nitsanluke,2024-03-15,closed,1.0
302,nitsanluke,2024-03-22,closed,2.0
303,nitsanluke,2024-03-29,closed,2.0
304,tianyi-chen,2023-08-18,closed,3.0
305,tianyi-chen,2023-08-25,closed,1.0
306,tianyi-chen,2023-09-01,closed,1.0
307,tianyi-chen,2023-09-08,closed,2.0
308,tianyi-chen,2023-09-15,closed,4.0
309,tianyi-chen,2023-09-22,closed,1.0
310,tianyi-chen,2023-09-29,closed,3.0
311,tianyi-chen,2023-10-27,closed,1.0
312,tianyi-chen,2023-11-03,closed,2.0
313,tianyi-chen,2023-11-10,closed,1.0
314,tianyi-chen,2023-11-17,closed,2.0
315,tianyi-chen,2023-11-24,closed,5.0
316,tianyi-chen,2023-12-01,closed,2.0
317,tianyi-chen,2023-12-08,closed,4.0
318,tianyi-chen,2023-12-22,closed,2.0
319,tianyi-chen,2024-01-05,closed,2.0
320,tianyi-chen,2024-01-12,closed,1.0
321,tianyi-chen,2024-01-19,closed,4.0
322,tianyi-chen,2024-02-02,closed,3.0
323,tianyi-chen,2024-02-09,closed,1.0
324,tianyi-chen,2024-03-01,closed,1.0
325,tianyi-chen,2024-03-08,closed,3.0
326,tianyi-chen,2024-03-15,closed,1.0
327,tianyi-chen,2024-03-22,closed,6.0
328,tianyi-chen,2024-03-29,closed,2.0
329,tianyi-chen,2024-04-05,closed,1.0
